1,1,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,1,1,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,1,1,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
2,2,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,2,2,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,2,2,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
3,3,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,3,3,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,3,3,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
4,4,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,4,4,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,4,4,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
5,5,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,5,5,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,5,5,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
6,6,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,6,6,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,6,6,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
7,7,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,7,7,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,7,7,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
8,8,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,8,8,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,8,8,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
9,9,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,9,9,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,9,9,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
10,10,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,10,10,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,10,10,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
11,11,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,11,11,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,11,11,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
12,12,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,12,12,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,12,12,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
13,13,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,13,13,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,13,13,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
14,14,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,14,14,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,14,14,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
15,15,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,15,15,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,15,15,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
16,16,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,16,16,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,16,16,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
17,17,"ANTONIO SILVA","ANTONIO SILVA",00000000000000,00000000000000,620.548.853-12,620.548.853-12,,,"RUA CENTRAL","RUA CENTRAL",23,23,"AP 23","AP 23",CENTRO,CENTRO,18010-080,18010-080,SP,SP,9450,9450,15-98765-8765,15-98765-8765,17,17,1,1,1,1,"GlobalNet Gen5 10MB","GlobalNet Gen5 10MB",59.99,59.99,10000,10000,10000,10000,Sorocaba,Sorocaba,17,17,2019-02-15,2019-02-15,2019-02-10,2019-02-10,59.99,59.99,59.99,59.99,0.00,0.00,59.99,59.99,PA,PA,307,307,"Não contribuinte","Não contribuinte"
